LOCATION,SUBJECT,MEASURE,TIME,Value
Australia,REAL,IDX2015,2020,106.7259
Austria,REAL,IDX2015,2020,125.5748
Belgium,REAL,IDX2015,2020,110.1387
Canada,REAL,IDX2015,2020,129.6499
Czechia,REAL,IDX2015,2020,138.2354
Denmark,REAL,IDX2015,2020,119.8715
Finland,REAL,IDX2015,2020,102.1711
France,REAL,IDX2015,2020,111.9216
Germany,REAL,IDX2015,2020,131.1408
Greece,REAL,IDX2015,2020,112.1845
Hungary,REAL,IDX2015,2020,153.6706
Iceland,REAL,IDX2015,2020,143.3092
Ireland,REAL,IDX2015,2020,127.2462
Italy,REAL,IDX2015,2020,98.0419
Japan,REAL,IDX2015,2020,107.0504
South Korea,REAL,IDX2015,2020,101.6543
Luxembourg,REAL,IDX2015,2020,140.6968
Mexico,REAL,IDX2015,2020,117.804
Netherlands,REAL,IDX2015,2020,131.4913
New Zealand,REAL,IDX2015,2020,133.0928
Norway,REAL,IDX2015,2020,108.8532
Poland,REAL,IDX2015,2020,123.9799
Portugal,REAL,IDX2015,2020,144.499
Slovakia,REAL,IDX2015,2020,133.5422
Spain,REAL,IDX2015,2020,122.1294
Sweden,REAL,IDX2015,2020,118.2595
Switzerland,REAL,IDX2015,2020,114.3058
Turkey,REAL,IDX2015,2020,99.0845
United Kingdom,REAL,IDX2015,2020,110.1298
United States,REAL,IDX2015,2020,125.3758
Brazil,REAL,IDX2015,2020,83.1374
Chile,REAL,IDX2015,2020,129.2784
China,REAL,IDX2015,2020,129.7463
Colombia,REAL,IDX2015,2020,112.8676
Estonia,REAL,IDX2015,2020,119.1217
India,REAL,IDX2015,2020,107.8751
Indonesia,REAL,IDX2015,2020,98.1137
Israel,REAL,IDX2015,2020,114.5012
Latvia,REAL,IDX2015,2020,130.9111
Lithuania,REAL,IDX2015,2020,127.8379
Russia,REAL,IDX2015,2020,118.987
Slovenia,REAL,IDX2015,2020,130.5004
South Africa,REAL,IDX2015,2020,98.1945
Bulgaria,REAL,IDX2015,2020,127.0983
Romania,REAL,IDX2015,2020,111.1885
